coords,color
"40.371494,-111.975043",orange
"40.371518,-111.975038",orange
"40.371540,-111.975032",orange
"40.371562,-111.975025",orange
"40.371586,-111.975018",orange
"40.371610,-111.975011",orange
"40.371635,-111.974997",orange
,green
"40.371658,-111.974980",green
,yellow
"40.371682,-111.974958",yellow
"40.371702,-111.974939",yellow
"40.371723,-111.974923",yellow
"40.371735,-111.974904",yellow
,red
"40.371741,-111.974890",red
"40.371744,-111.974873",red
"40.371746,-111.974851",red
"40.371744,-111.974820",red
,green
"40.371737,-111.974782",green
"40.371731,-111.974736",green
"40.371724,-111.974691",green
"40.371719,-111.974652",green
"40.371711,-111.974610",green
,green
"40.371711,-111.974610",green
"40.371706,-111.974570",green
"40.371704,-111.974531",green
,green
"40.371703,-111.974493",green
"40.371701,-111.974452",green
"40.371699,-111.974414",green
"40.371696,-111.974378",green
"40.371692,-111.974345",green
"40.371687,-111.974308",green
"40.371682,-111.974275",green
"40.371676,-111.974246",green
"40.371675,-111.974227",green
"40.371676,-111.974215",green
"40.371680,-111.974201",green
,orange
"40.371685,-111.974187",orange
,purple
"40.371691,-111.974174",purple
"40.371694,-111.974167",purple
"40.371700,-111.974156",purple
"40.371701,-111.974142",purple
"40.371699,-111.974127",purple
,orange
"40.371696,-111.974111",orange
,green
"40.371695,-111.974096",green
,yellow
"40.371700,-111.974080",yellow
,green
"40.371703,-111.974065",green
,orange
"40.371705,-111.974049",orange
,purple
"40.371706,-111.974031",purple
,orange
"40.371706,-111.974013",orange
,green
"40.371706,-111.973995",green
"40.371706,-111.973982",green
"40.371711,-111.973966",green
,orange
"40.371715,-111.973947",orange
,purple
"40.371718,-111.973928",purple
"40.371718,-111.973910",purple
,orange
"40.371718,-111.973893",orange
,green
"40.371718,-111.973874",green
"40.371719,-111.973854",green
"40.371720,-111.973835",green
"40.371720,-111.973816",green
"40.371718,-111.973796",green
"40.371721,-111.973778",green
"40.371725,-111.973761",green
,orange
"40.371732,-111.973743",orange
,purple
"40.371738,-111.973724",purple
"40.371744,-111.973706",purple
"40.371750,-111.973688",purple
"40.371755,-111.973671",purple
"40.371761,-111.973654",purple
"40.371765,-111.973634",purple
"40.371765,-111.973614",purple
,orange
"40.371766,-111.973597",orange
,green
